mixed_col,ambiguous_date,mostly_null,category,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
UNKNOWN,11/03/2025,,Red,str_val_1,26.64788644643422,str_val_3,86.97735511609949,str_val_5,70.5845490172553,str_val_7,3.8018374683587486,str_val_9,67.68120355972168,str_val_11,95.08822474002753,str_val_13,48.16757638143445,str_val_15,24.457794237352847,str_val_17,19.218849736933286,str_val_19,86.69879521311088,str_val_21,65.35516151078869,str_val_23,24.196339206567576,str_val_25,57.49576211709299,str_val_27,72.73600410285613,str_val_29,95.68102593756845,str_val_31,67.25327882573498,str_val_33,15.222774836007103,str_val_35,91.43936709008076,str_val_37,17.212955927814743,str_val_39,44.13978116256837,str_val_41,75.33342611843297
624,04/10/2025,,Blue,str_val_1,93.58600468630335,str_val_3,10.944178428332375,str_val_5,70.91895850426535,str_val_7,84.52401097035307,str_val_9,3.642530246271658,str_val_11,98.91881172043824,str_val_13,15.55297221425781,str_val_15,64.45474471147914,str_val_17,65.73108755415599,str_val_19,15.177249371891454,str_val_21,72.32670668404258,str_val_23,45.28269350447397,str_val_25,8.774317837755541,str_val_27,29.36373128981581,str_val_29,52.72392667183217,str_val_31,15.923840249177523,str_val_33,54.13225646591305,str_val_35,71.86281118973609,str_val_37,16.34100362756078,str_val_39,46.85926073345783,str_val_41,72.37577398923776
755,08/05/2025,,Red,str_val_1,75.63125572663395,str_val_3,57.475568728769275,str_val_5,20.385041876115807,str_val_7,87.71684636809661,str_val_9,63.11457045455954,str_val_11,43.622604729644586,str_val_13,73.5527396430361,str_val_15,24.56401662407587,str_val_17,6.657969495517202,str_val_19,40.17985385780754,str_val_21,4.17255289630043,str_val_23,86.47210800725871,str_val_25,39.328410424036456,str_val_27,27.21104927497562,str_val_29,36.302815160769484,str_val_31,59.409244242405755,str_val_33,4.992008526871084,str_val_35,53.25132664196117,str_val_37,35.05122742930015,str_val_39,46.25805363531259,str_val_41,2.9263284237288967
246,01/04/2025,,Green,str_val_1,40.346059438941985,str_val_3,6.870330981395146,str_val_5,69.90365884830538,str_val_7,23.217323072435402,str_val_9,96.38981408351783,str_val_11,86.38814326653484,str_val_13,27.995967082228944,str_val_15,81.71791939736993,str_val_17,33.9606042802049,str_val_19,23.212203987505276,str_val_21,73.66030739972184,str_val_23,89.8392804956785,str_val_25,3.9400074851889344,str_val_27,59.51379155159344,str_val_29,89.10571159536327,str_val_31,71.6306682321266,str_val_33,86.63144858119175,str_val_35,49.38631709883601,str_val_37,18.237366162407188,str_val_39,35.616141028552775,str_val_41,29.309696693926192
623,05/03/2025,,Green,str_val_1,18.475389550199584,str_val_3,8.147052140117605,str_val_5,43.27930964344705,str_val_7,84.21144889116995,str_val_9,70.21230577988119,str_val_11,11.441031926306378,str_val_13,10.648406837809798,str_val_15,69.04861678234934,str_val_17,43.8884008445751,str_val_19,66.77514705889752,str_val_21,42.29984336961039,str_val_23,74.30599394578168,str_val_25,12.125330290108705,str_val_27,23.921480631245352,str_val_29,13.344182240004976,str_val_31,81.70949770727965,str_val_33,78.93043571404455,str_val_35,2.9914074990701756,str_val_37,52.07295770812733,str_val_39,8.634306646159951,str_val_41,85.26539099115755
450,12/02/2025,,Red,str_val_1,28.44178246683353,str_val_3,20.177384460453162,str_val_5,44.328751132127486,str_val_7,24.159889653575462,str_val_9,78.6110533609709,str_val_11,0.7810566169110467,str_val_13,86.92468485718153,str_val_15,85.21418199960523,str_val_17,97.94736667889751,str_val_19,49.53703801776378,str_val_21,22.61342725242026,str_val_23,68.12404614225888,str_val_25,40.82386998204163,str_val_27,85.95812777715469,str_val_29,67.37783678851014,str_val_31,72.37389432276579,str_val_33,78.08920083558573,str_val_35,66.21502752697437,str_val_37,70.21357111291739,str_val_39,71.94966560677054,str_val_41,78.53441588973963
141,04/12/2025,,Red,str_val_1,85.8894692264968,str_val_3,82.18123059960462,str_val_5,41.08076728356262,str_val_7,50.333926634945605,str_val_9,30.19724075118255,str_val_11,78.97219868360501,str_val_13,81.6975070527744,str_val_15,71.61498329922644,str_val_17,54.42385491354599,str_val_19,43.79836165863797,str_val_21,56.21436271736272,str_val_23,36.778721489961356,str_val_25,9.489715921844644,str_val_27,72.29081641770333,str_val_29,44.646733930616534,str_val_31,53.157986539710386,str_val_33,64.42411871058216,str_val_35,46.86419171255477,str_val_37,31.661186160555467,str_val_39,22.788872621667544,str_val_41,37.841714359798885
196,04/07/2025,,Blue,str_val_1,66.44419030058616,str_val_3,33.415251074683404,str_val_5,43.86622499287076,str_val_7,11.652838769990003,str_val_9,40.01073576398533,str_val_11,2.8195734495658376,str_val_13,36.50506254385941,str_val_15,7.1206780295258065,str_val_17,22.455123430712355,str_val_19,43.863347070004366,str_val_21,35.153622441470986,str_val_23,54.57674431202424,str_val_25,38.60332204832824,str_val_27,59.670027450976136,str_val_29,85.26875290103852,str_val_31,37.38600410452292,str_val_33,34.04213567575489,str_val_35,28.606593342688125,str_val_37,58.05880325983265,str_val_39,52.296761875650574,str_val_41,73.27940434333264
894,06/05/2025,,Green,str_val_1,44.33846893189796,str_val_3,64.87622555047872,str_val_5,7.660979706532222,str_val_7,33.870581845087166,str_val_9,10.522595361320752,str_val_11,2.4780045191573175,str_val_13,9.589090702293557,str_val_15,37.85392257436104,str_val_17,35.535128593294374,str_val_19,32.47999877760682,str_val_21,88.03732877524702,str_val_23,40.81982766635915,str_val_25,14.944061681414567,str_val_27,41.6693321898466,str_val_29,69.4432802502302,str_val_31,82.82589991007306,str_val_33,71.79807459963081,str_val_35,87.28088936522552,str_val_37,14.294436600581161,str_val_39,89.79388483037995,str_val_41,59.72601313387048
644,11/01/2025,,Blue,str_val_1,77.06711322439317,str_val_3,94.43650821904967,str_val_5,15.20163070044297,str_val_7,66.33433193721964,str_val_9,42.41726283624272,str_val_11,74.80050799066672,str_val_13,28.58283941064499,str_val_15,38.09110780247573,str_val_17,13.435567895842226,str_val_19,80.00871543502342,str_val_21,98.5834409599486,str_val_23,37.74217482875284,str_val_25,88.317137621988,str_val_27,53.1153938615391,str_val_29,31.09522256306153,str_val_31,87.79303410204781,str_val_33,27.49693005692986,str_val_35,84.5556049238216,str_val_37,13.38411529030681,str_val_39,51.104750502922656,str_val_41,82.20724023778054
